Mode,Category,Type
CW,CW,CW
A1,CW,CW
A1A,CW,CW
AM,AM,Phone
A3,AM,Phone
A3H,AM,Phone
SSB,SSB,Phone
USB,SSB,Phone
LSV,SSB,Phone
A3J,SSB,Phone
FM,FM,Phone
F3,FM,Phone
SSTV,SSTV,SSTV
FT8,DATA,DATA
TF4,DATA,DATA
JT4,DATA,DATA
JT9,DATA,DATA
JT65,DATA,DATA
FSK144,DATA,DATA
MSK144,DATA,DATA
WSPR,DATA,DATA
DATA,DATA,DATA
RTTY,RTTY,DATA
