BandF,BandL,Lower,Upper
135KHz,2200m,0.1357,0.1378
475KHz,600m,0.472,0.479
1.9MHz,160m,1.81,1.9125
3.5MHz,80m,3.5,3.687
3.8MHz,80m,3.702,3.805
7MHz,40m,7,7.2
10MHz,30m,10.1,10.15
14MHz,20m,14,14.35
18MHz,17m,18.068,18.168
21MHz,15m,21,21.45
24MHz,12m,24.89,24.99
28MHz,10m,28,29.7
50MHz,6m,50,54
144MHz,2m,144,146
430MHz,70cm,430,440
1200MHz,23cm,1260,1300
2.4GHz,13cm,2400,2450
5.6GHz,5cm,5650,5850
10.1GHz,3cm,10000,10250
10.4GHz,3cm,10450,10500
