DXCC	Pattern	Name	EntityCode
W	[K,N,W][A-F,I-K,M-Z,0-9];A[A-K]	United States of America	291
KG4	KG4	Guantanamo Bay	105
KH0	KH0	Mariana Is.	166
KH1	KH1	Baker & Howland Is.	20
KH2	KH2	Guam	103
KH3	KH3	Johnston I.	123
KH4	KH4	Midway I.	174
KH5	KH5	Palmyra & Jarvis Is.	197
KH6	KH[6-7]	Hawaii	110
KH7K	KH7K	Kure I.	138
KH8	KH8	American Samoa	9
KH8S	KH8	Swains I.	515
KH9	KH9	Wake I.	297
WL	[A,K,N,W]L	Alaska	6
KP1	KP1	Navassa I.	182
KP2	KP2	Virgin Is.	285
KP4	KP[3-4]	Puerto Rico	202
KP5	KP5	Desecheo I.	43
LA	L[A-N]	Norway	266
LU	L[0-W]	Argentina	100
LX	LX	Luxembourg	254
LY	LY	Lithuania	146
LZ	LZ	Bulgaria	212
OA	O[A-C]	Peru	136
OD	OD	Lebanon	354
OE	OE	Austria	206
OH	O[F-J]	Finland	224
OH0	OH0	Aland Is.	5
OJ0	OJ0	Market Reef	167
OK	O[K-L]	Czech Republic	503
OM	OM	Slovak Republic	504
ON	O[N-T]	Belgium	209
OU	O[U-W];XP;5[P,Q]	Denmark	221
OX	OX	Greenland	237
OY	OY	Faroe Is.	222
P2	P2	Papua New Guinea	163
P4	P4	Aruba	91
P5	P5	Democratic PeopleÅfs Rep. of Korea	344
PA	P[A-I]	Netherlands	263
PJ2	PJ2	Curacao	517
PJ4	PJ4	Bonaire	520
PJ[5-6]	PJ5	Saba & St. Eustatius	519
PJ7	PJ7	St Maarten	518
PY	P[P-Y][1-9];Z[V-Z]	Brazil	108
PY0F	P[P-Y]0	Fernando de Noronha	56
PY0S	P[P-Y]0	St. Peter & St. Paul Rocks	253
PY0T	P[P-Y]0	Trindade & Martim Vaz Is.	273
PZ	PZ	Suriname	140
R1FJ	R1	Franz Josef Land	61
S0	S0	Western Sahara	302
S3	S3	Bangladesh	305
S5	S5	Slovenia	499
S7	S7	Seychelles	379
S9	S9	Sao Tome & Principe	219
SM	S[A-M];[7,8]S	Sweden	284
SP	S[N-R];HF;3Z	Poland	269
